# 416
index,content,likes
0,这是景区评论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:0  论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊!,186
1,景区评论!今天在这里。。，今天很开心！里面超好玩儿啊啊啊! comment_id:1  ,210
2,这是景区评论。今天在这里。。，今天很开心！ comment_id:2  ,144
3,景区评论!今天在这里。。，今天很开心！今天在这里。。，今天很开心！ comment_id:3  !今天在这里。。，今天很开心！今天在这里。。，今天很开心！ co,189
4,这是景区评论。里面超好玩儿啊啊啊! comment_id:4  ,114
5,这是一条景区评论这是我的景区评论。 comment_id:5  ,129
6,景区评论!今天在这里。。，今天很开心！里面超好玩儿啊啊啊! comment_id:6  ,99
7,这是景区评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 comment_id:7  �评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 com,216
8,这是景区评论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 comment_id:8  �论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 ,168
9,这是景区评论。里面超好玩儿啊啊啊! comment_id:9  ,150
10,这是景区评论。这是我的景区评论。 comment_id:10  ,39
11,这是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:11  是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:1,210
12,这是景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_id:12  景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_i,6
13,这是景区评论。里面超好玩儿啊啊啊! comment_id:13  ,189
14,这是景区评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:14  ��论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! co,15
15,景区评论!今天在这里。。，今天很开心！今天很开心！ comment_id:15  ,213
16,景区评论!今天在这里。。，今天很开心！今天在这里。。，今天很开心！ comment_id:16  今天在这里。。，今天很开心！今天在这里。。，今天很开心！ co,96
17,景区评论!今天在这里。。，今天很开心！今天在这里。。，今天很开心！ comment_id:17  今天在这里。。，今天很开心！今天在这里。。，今天很开心！ co,132
18,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:18  论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,186
19,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:19  论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,135
20,这是景区评论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:20  ��。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊!,210
21,景区评论!今天在这里。。，今天很开心！今天很开心！ comment_id:21  ,12
22,这是景区评论。今天很开心！ comment_id:22  ,126
23,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:23  ��超好玩儿啊啊啊，里面的人说话又好听。里面超好玩儿�,24
