# 263
index,name,label,likes
0,毛血旺 food_id:0,粤菜 food_id:0,48
1,山西刀削面 food_id:1,川菜 food_id:1,0
2,鱼香肉丝 food_id:2,苏菜 food_id:2,111
3,山西刀削面 food_id:3,川菜 food_id:3,99
4,涮毛肚 food_id:4,粤菜 food_id:4,72
5,毛血旺 food_id:5,鲁菜 food_id:5,108
6,猪肉炒手 food_id:6,闽菜 food_id:6,15
7,涮毛肚 food_id:7,川菜 food_id:7,93
8,毛血旺 food_id:8,徽菜 food_id:8,3
9,猪肉炒手 food_id:9,川菜 food_id:9,72
10,面皮 food_id:10,粤菜 food_id:10,18
11,麻辣烫 food_id:11,鲁菜 food_id:11,45
12,麻辣烫 food_id:12,粤菜 food_id:12,24
13,麻辣烫 food_id:13,湘菜 food_id:13,90
14,麻辣烫 food_id:14,川菜 food_id:14,114
15,毛血旺 food_id:15,徽菜 food_id:15,96
16,牛肉拉面 food_id:16,鲁菜 food_id:16,78
17,山西刀削面 food_id:17,浙菜 food_id:17,78
18,牛肉拉面 food_id:18,浙菜 food_id:18,93
19,面皮 food_id:19,湘菜 food_id:19,51
20,鱼香肉丝 food_id:20,浙菜 food_id:20,21
21,鱼香肉丝 food_id:21,湘菜 food_id:21,81
22,猪肉炒手 food_id:22,粤菜 food_id:22,93
23,涮毛肚 food_id:23,川菜 food_id:23,57
24,猪肉炒手 food_id:24,粤菜 food_id:24,111
25,鱼香肉丝 food_id:25,鲁菜 food_id:25,6
26,山西刀削面 food_id:26,浙菜 food_id:26,60
27,鱼香肉丝 food_id:27,川菜 food_id:27,6
28,牛肉拉面 food_id:28,川菜 food_id:28,0
29,猪肉炒手 food_id:29,鲁菜 food_id:29,3
30,鱼香肉丝 food_id:30,苏菜 food_id:30,81
31,麻辣烫 food_id:31,湘菜 food_id:31,96
32,山西刀削面 food_id:32,湘菜 food_id:32,45
33,牛肉拉面 food_id:33,苏菜 food_id:33,111
34,涮毛肚 food_id:34,川菜 food_id:34,78
35,鱼香肉丝 food_id:35,粤菜 food_id:35,9
36,猪肉炒手 food_id:36,徽菜 food_id:36,102
37,牛肉拉面 food_id:37,浙菜 food_id:37,45
38,牛肉拉面 food_id:38,闽菜 food_id:38,60
39,牛肉拉面 food_id:39,川菜 food_id:39,42
40,山西刀削面 food_id:40,鲁菜 food_id:40,78
41,鱼香肉丝 food_id:41,粤菜 food_id:41,69
42,猪肉炒手 food_id:42,粤菜 food_id:42,12
43,鱼香肉丝 food_id:43,徽菜 food_id:43,18
44,毛血旺 food_id:44,川菜 food_id:44,48
45,面皮 food_id:45,浙菜 food_id:45,78
46,鱼香肉丝 food_id:46,川菜 food_id:46,63
47,鱼香肉丝 food_id:47,粤菜 food_id:47,90
48,麻辣烫 food_id:48,川菜 food_id:48,102
49,鱼香肉丝 food_id:49,湘菜 food_id:49,45
50,麻辣烫 food_id:50,徽菜 food_id:50,51
51,涮毛肚 food_id:51,川菜 food_id:51,42
52,毛血旺 food_id:52,鲁菜 food_id:52,33
53,毛血旺 food_id:53,川菜 food_id:53,111
54,猪肉炒手 food_id:54,川菜 food_id:54,117
55,猪肉炒手 food_id:55,闽菜 food_id:55,21
56,鱼香肉丝 food_id:56,徽菜 food_id:56,54
57,猪肉炒手 food_id:57,闽菜 food_id:57,21
58,面皮 food_id:58,鲁菜 food_id:58,78
59,面皮 food_id:59,浙菜 food_id:59,105
60,鱼香肉丝 food_id:60,苏菜 food_id:60,15
61,牛肉拉面 food_id:61,鲁菜 food_id:61,9
62,涮毛肚 food_id:62,川菜 food_id:62,45
63,面皮 food_id:63,徽菜 food_id:63,9
64,牛肉拉面 food_id:64,粤菜 food_id:64,18
65,牛肉拉面 food_id:65,苏菜 food_id:65,45
66,牛肉拉面 food_id:66,浙菜 food_id:66,66
67,涮毛肚 food_id:67,浙菜 food_id:67,24
68,面皮 food_id:68,浙菜 food_id:68,114
69,山西刀削面 food_id:69,闽菜 food_id:69,15
70,牛肉拉面 food_id:70,川菜 food_id:70,108
71,牛肉拉面 food_id:71,浙菜 food_id:71,66
72,牛肉拉面 food_id:72,徽菜 food_id:72,27
73,麻辣烫 food_id:73,徽菜 food_id:73,99
74,山西刀削面 food_id:74,湘菜 food_id:74,48
75,猪肉炒手 food_id:75,湘菜 food_id:75,114
76,麻辣烫 food_id:76,闽菜 food_id:76,27
77,毛血旺 food_id:77,苏菜 food_id:77,3
78,麻辣烫 food_id:78,闽菜 food_id:78,60
79,涮毛肚 food_id:79,徽菜 food_id:79,108
80,鱼香肉丝 food_id:80,湘菜 food_id:80,90
81,麻辣烫 food_id:81,粤菜 food_id:81,60
82,涮毛肚 food_id:82,粤菜 food_id:82,63
83,鱼香肉丝 food_id:83,粤菜 food_id:83,99
84,麻辣烫 food_id:84,浙菜 food_id:84,114
85,面皮 food_id:85,川菜 food_id:85,42
86,涮毛肚 food_id:86,粤菜 food_id:86,114
87,牛肉拉面 food_id:87,鲁菜 food_id:87,99
88,鱼香肉丝 food_id:88,湘菜 food_id:88,27
89,面皮 food_id:89,鲁菜 food_id:89,81
90,猪肉炒手 food_id:90,苏菜 food_id:90,51
91,牛肉拉面 food_id:91,浙菜 food_id:91,96
92,面皮 food_id:92,湘菜 food_id:92,117
93,毛血旺 food_id:93,苏菜 food_id:93,9
94,鱼香肉丝 food_id:94,徽菜 food_id:94,117
95,鱼香肉丝 food_id:95,湘菜 food_id:95,51
96,鱼香肉丝 food_id:96,湘菜 food_id:96,15
97,牛肉拉面 food_id:97,川菜 food_id:97,66
98,毛血旺 food_id:98,湘菜 food_id:98,3
99,涮毛肚 food_id:99,粤菜 food_id:99,117
100,麻辣烫 food_id:100,川菜 food_id:100,111
101,牛肉拉面 food_id:101,苏菜 food_id:101,96
102,面皮 food_id:102,粤菜 food_id:102,69
103,山西刀削面 food_id:103,徽菜 food_id:103,48
104,山西刀削面 food_id:104,闽菜 food_id:104,63
105,鱼香肉丝 food_id:105,川菜 food_id:105,90
106,鱼香肉丝 food_id:106,湘菜 food_id:106,3
107,涮毛肚 food_id:107,浙菜 food_id:107,69
108,面皮 food_id:108,浙菜 food_id:108,105
109,毛血旺 food_id:109,川菜 food_id:109,75
110,山西刀削面 food_id:110,川菜 food_id:110,81
111,鱼香肉丝 food_id:111,徽菜 food_id:111,99
112,鱼香肉丝 food_id:112,鲁菜 food_id:112,42
113,面皮 food_id:113,川菜 food_id:113,81
114,涮毛肚 food_id:114,鲁菜 food_id:114,111
115,毛血旺 food_id:115,川菜 food_id:115,30
116,山西刀削面 food_id:116,湘菜 food_id:116,21
117,鱼香肉丝 food_id:117,湘菜 food_id:117,48
118,山西刀削面 food_id:118,粤菜 food_id:118,81
119,涮毛肚 food_id:119,闽菜 food_id:119,51
120,麻辣烫 food_id:120,徽菜 food_id:120,99
121,牛肉拉面 food_id:121,浙菜 food_id:121,69
122,面皮 food_id:122,浙菜 food_id:122,30
123,牛肉拉面 food_id:123,川菜 food_id:123,6
124,麻辣烫 food_id:124,粤菜 food_id:124,93
125,毛血旺 food_id:125,川菜 food_id:125,51
126,鱼香肉丝 food_id:126,粤菜 food_id:126,81
127,涮毛肚 food_id:127,浙菜 food_id:127,57
128,毛血旺 food_id:128,粤菜 food_id:128,36
129,山西刀削面 food_id:129,浙菜 food_id:129,30
130,麻辣烫 food_id:130,浙菜 food_id:130,12
131,猪肉炒手 food_id:131,川菜 food_id:131,99
132,牛肉拉面 food_id:132,闽菜 food_id:132,45
133,牛肉拉面 food_id:133,闽菜 food_id:133,42
134,面皮 food_id:134,川菜 food_id:134,12
135,猪肉炒手 food_id:135,闽菜 food_id:135,108
136,麻辣烫 food_id:136,徽菜 food_id:136,48
137,猪肉炒手 food_id:137,徽菜 food_id:137,42
138,山西刀削面 food_id:138,川菜 food_id:138,69
139,山西刀削面 food_id:139,闽菜 food_id:139,0
140,毛血旺 food_id:140,苏菜 food_id:140,15
141,鱼香肉丝 food_id:141,湘菜 food_id:141,105
142,鱼香肉丝 food_id:142,川菜 food_id:142,81
143,牛肉拉面 food_id:143,粤菜 food_id:143,66
144,麻辣烫 food_id:144,浙菜 food_id:144,54
145,麻辣烫 food_id:145,川菜 food_id:145,30
146,毛血旺 food_id:146,湘菜 food_id:146,27
147,麻辣烫 food_id:147,浙菜 food_id:147,102
148,牛肉拉面 food_id:148,粤菜 food_id:148,72
149,山西刀削面 food_id:149,川菜 food_id:149,99
150,毛血旺 food_id:150,闽菜 food_id:150,90
151,山西刀削面 food_id:151,粤菜 food_id:151,117
152,鱼香肉丝 food_id:152,粤菜 food_id:152,36
153,麻辣烫 food_id:153,粤菜 food_id:153,27
154,牛肉拉面 food_id:154,徽菜 food_id:154,9
155,面皮 food_id:155,川菜 food_id:155,48
156,涮毛肚 food_id:156,徽菜 food_id:156,102
157,山西刀削面 food_id:157,苏菜 food_id:157,18
158,面皮 food_id:158,浙菜 food_id:158,36
159,山西刀削面 food_id:159,粤菜 food_id:159,72
160,麻辣烫 food_id:160,湘菜 food_id:160,9
161,猪肉炒手 food_id:161,鲁菜 food_id:161,81
162,毛血旺 food_id:162,粤菜 food_id:162,114
163,毛血旺 food_id:163,川菜 food_id:163,63
164,猪肉炒手 food_id:164,湘菜 food_id:164,60
165,毛血旺 food_id:165,徽菜 food_id:165,51
166,毛血旺 food_id:166,苏菜 food_id:166,84
167,麻辣烫 food_id:167,徽菜 food_id:167,51
168,麻辣烫 food_id:168,鲁菜 food_id:168,72
169,牛肉拉面 food_id:169,川菜 food_id:169,51
170,猪肉炒手 food_id:170,鲁菜 food_id:170,6
171,牛肉拉面 food_id:171,苏菜 food_id:171,30
172,涮毛肚 food_id:172,湘菜 food_id:172,99
173,山西刀削面 food_id:173,苏菜 food_id:173,96
174,猪肉炒手 food_id:174,闽菜 food_id:174,57
175,涮毛肚 food_id:175,鲁菜 food_id:175,78
176,山西刀削面 food_id:176,湘菜 food_id:176,78
177,鱼香肉丝 food_id:177,闽菜 food_id:177,33
178,山西刀削面 food_id:178,徽菜 food_id:178,21
179,面皮 food_id:179,徽菜 food_id:179,51
180,面皮 food_id:180,鲁菜 food_id:180,93
181,山西刀削面 food_id:181,川菜 food_id:181,105
182,麻辣烫 food_id:182,湘菜 food_id:182,96
183,麻辣烫 food_id:183,鲁菜 food_id:183,51
184,面皮 food_id:184,徽菜 food_id:184,48
185,毛血旺 food_id:185,徽菜 food_id:185,33
186,麻辣烫 food_id:186,川菜 food_id:186,117
187,面皮 food_id:187,闽菜 food_id:187,33
188,山西刀削面 food_id:188,浙菜 food_id:188,9
189,面皮 food_id:189,鲁菜 food_id:189,72
190,牛肉拉面 food_id:190,浙菜 food_id:190,99
191,猪肉炒手 food_id:191,湘菜 food_id:191,27
192,涮毛肚 food_id:192,苏菜 food_id:192,3
193,鱼香肉丝 food_id:193,川菜 food_id:193,27
194,牛肉拉面 food_id:194,闽菜 food_id:194,69
195,鱼香肉丝 food_id:195,苏菜 food_id:195,36
196,麻辣烫 food_id:196,徽菜 food_id:196,36
197,麻辣烫 food_id:197,粤菜 food_id:197,24
198,毛血旺 food_id:198,粤菜 food_id:198,18
199,山西刀削面 food_id:199,徽菜 food_id:199,93
200,涮毛肚 food_id:200,徽菜 food_id:200,18
201,猪肉炒手 food_id:201,徽菜 food_id:201,21
202,面皮 food_id:202,粤菜 food_id:202,9
203,毛血旺 food_id:203,川菜 food_id:203,12
204,涮毛肚 food_id:204,浙菜 food_id:204,87
205,涮毛肚 food_id:205,湘菜 food_id:205,114
206,面皮 food_id:206,川菜 food_id:206,57
207,猪肉炒手 food_id:207,川菜 food_id:207,90
208,鱼香肉丝 food_id:208,闽菜 food_id:208,39
209,山西刀削面 food_id:209,粤菜 food_id:209,84
210,毛血旺 food_id:210,鲁菜 food_id:210,75
