# 4764
index,from_place_index,to_place_index,length,congestion,walk_access,bike_access,ebike_access
0,0,1,45,7,1,1,0
1,0,2,70,9,1,1,0
2,0,3,35,9,1,1,1
3,0,4,65,0,1,1,1
4,0,5,80,9,1,1,0
5,0,6,65,9,1,1,1
6,0,7,20,4,1,1,1
7,5,1,210,2,1,1,0
8,0,9,55,8,1,1,1
9,0,10,30,9,1,0,1
10,0,11,70,7,1,1,1
11,0,12,30,1,1,1,1
12,0,13,90,8,1,1,0
13,0,14,35,1,1,1,1
14,0,15,70,4,1,1,1
15,0,16,10,6,1,0,0
16,0,17,60,0,1,0,0
17,0,18,30,7,1,1,1
18,0,19,25,5,1,1,1
19,0,20,100,4,1,0,0
20,0,21,60,4,1,0,1
21,0,22,100,7,1,1,1
22,0,23,90,4,1,0,0
23,0,24,70,8,1,1,0
24,0,25,5,1,1,1,0
25,0,26,55,7,1,0,0
26,0,27,75,9,1,0,0
27,0,28,45,7,1,1,1
28,0,29,20,5,1,1,1
29,0,30,80,9,1,1,1
30,0,31,55,2,1,0,0
31,0,32,60,0,1,1,1
32,0,33,25,1,1,1,1
33,0,34,95,6,1,1,0
34,0,35,25,8,1,1,1
35,0,36,80,5,1,1,1
36,0,37,60,0,1,1,1
37,0,38,20,6,1,1,1
38,0,39,90,4,1,0,1
39,0,40,25,8,1,1,0
40,0,41,30,0,1,1,1
41,0,42,25,6,1,1,1
42,0,43,45,7,1,1,1
43,0,44,85,4,1,0,0
44,1,70,10,7,1,0,1
45,0,46,85,0,1,0,0
46,0,47,15,9,1,0,0
47,0,48,45,3,1,1,1
48,0,49,30,6,1,1,0
49,0,50,70,5,1,1,1
50,0,51,50,9,1,0,0
51,0,52,40,3,1,1,1
52,0,53,95,5,1,1,1
53,0,54,90,1,1,0,1
54,0,55,15,5,1,1,0
55,2,22,90,2,1,1,1
56,0,57,5,7,1,1,1
57,0,58,90,7,1,1,1
58,0,59,60,5,1,0,1
59,0,60,20,5,1,1,0
60,0,61,50,0,1,1,1
61,0,62,40,0,1,0,1
62,0,63,55,7,1,1,1
63,0,64,15,0,1,1,1
64,0,65,85,7,1,1,0
65,0,66,45,2,1,1,0
66,0,67,5,4,1,1,0
67,0,68,5,1,1,1,0
68,0,69,70,6,1,1,1
69,0,70,15,7,1,1,0
70,0,71,30,3,1,1,1
71,0,72,95,8,1,0,0
72,0,73,35,5,1,1,0
73,0,74,25,7,1,1,1
74,0,75,20,3,1,1,1
75,0,76,65,9,1,0,0
76,0,77,80,3,1,1,0
77,0,78,80,9,1,1,1
78,0,79,90,4,1,1,0
79,0,80,30,1,1,1,0
80,0,81,30,9,1,1,1
81,0,82,30,3,1,0,0
82,0,83,95,5,1,1,0
83,0,84,75,2,1,0,1
84,0,85,10,6,1,1,0
85,0,86,50,8,1,1,0
86,4,7,40,2,1,0,1
87,0,88,45,1,1,1,1
88,0,89,5,0,1,1,0
89,0,90,10,4,1,1,0
90,0,91,95,1,1,1,1
91,0,92,90,7,1,1,1
92,0,93,20,2,1,1,1
93,0,94,80,5,1,1,1
94,0,95,70,5,1,1,0
95,0,96,60,2,1,1,1
96,0,97,90,5,1,1,1
97,0,98,5,3,1,0,0
98,0,99,95,8,1,0,1
99,1,2,75,5,1,1,1
100,1,3,25,8,1,1,1
101,1,4,30,1,1,1,0
102,1,5,25,6,1,1,1
103,1,6,95,4,1,1,1
104,1,7,90,1,1,1,1
105,1,8,60,2,1,1,1
106,1,9,20,6,1,0,1
107,1,10,75,6,1,1,0
108,1,11,100,7,1,1,0
109,5,52,100,7,1,1,0
110,1,13,55,2,1,1,0
111,1,14,15,3,1,0,0
112,1,15,15,5,1,0,0
113,1,16,75,2,1,1,1
114,1,17,10,8,1,1,0
115,1,18,10,0,1,1,1
116,1,19,40,1,1,1,1
117,1,20,15,3,1,1,1
118,1,21,85,2,1,0,1
119,1,22,15,4,1,1,1
120,1,23,40,0,1,1,1
121,1,24,60,3,1,1,1
122,1,25,5,0,1,1,1
123,1,26,45,9,1,1,0
124,1,27,85,7,1,1,0
125,1,28,60,2,1,1,1
126,1,29,60,2,1,0,1
127,1,30,75,3,1,0,0
128,1,31,10,8,1,1,0
129,1,32,20,0,1,1,0
130,1,33,100,9,1,1,0
131,1,34,70,0,1,0,0
132,1,35,55,3,1,0,1
133,1,36,50,1,1,1,1
134,1,37,70,9,1,1,0
135,1,38,25,6,1,1,1
136,1,39,75,6,1,0,0
137,1,40,70,9,1,1,0
138,1,41,45,7,1,1,0
139,1,42,50,6,1,1,0
140,7,29,80,0,1,1,0
141,1,44,55,7,1,1,1
142,1,45,50,8,1,1,1
143,1,46,60,2,1,0,0
144,1,47,80,3,1,1,0
145,1,48,80,1,1,1,1
146,1,49,45,8,1,0,1
147,1,50,15,9,1,0,1
148,1,51,20,5,1,0,0
149,1,52,65,7,1,1,1
150,1,53,30,7,1,1,0
151,1,54,95,5,1,1,1
152,1,55,60,0,1,1,1
153,1,56,15,9,1,1,0
154,1,57,15,6,1,1,1
155,1,58,70,5,1,1,1
156,1,59,65,6,1,1,0
157,1,60,65,1,1,0,1
158,1,61,100,1,1,0,1
159,1,62,45,4,1,1,1
160,1,63,85,0,1,1,0
161,1,64,40,1,1,1,0
162,1,65,35,2,1,1,1
163,1,66,40,5,1,1,1
164,1,67,45,9,1,0,0
165,1,68,95,2,1,1,0
166,1,69,65,3,1,1,1
167,1,70,70,3,1,1,1
168,1,71,30,9,1,1,0
169,1,72,30,8,1,1,0
170,1,73,70,4,1,1,1
171,1,74,10,8,1,1,0
172,1,75,40,2,1,1,0
173,1,76,40,9,1,0,0
174,1,77,40,7,1,1,1
175,1,78,85,2,1,0,0
176,1,79,65,0,1,1,0
177,1,80,100,7,1,0,1
178,1,81,75,7,1,1,1
179,1,82,20,2,1,1,1
180,1,83,80,6,1,1,0
181,1,84,65,0,1,1,1
182,1,85,70,9,1,0,0
183,1,86,40,4,1,1,1
184,1,87,90,7,1,1,1
185,1,88,50,8,1,1,0
186,1,89,50,0,1,0,0
187,1,90,55,3,1,0,1
188,1,91,80,2,1,0,0
189,1,92,60,8,1,0,0
190,1,93,90,5,1,1,1
191,1,94,100,3,1,1,0
192,9,89,85,3,1,1,0
193,1,96,60,2,1,1,0
194,1,97,95,3,1,1,0
195,1,98,100,9,1,1,0
196,1,99,100,8,1,0,0
197,2,3,50,1,1,1,0
198,2,4,25,8,1,1,1
199,2,5,45,6,1,1,0
200,2,6,20,5,1,1,1
201,2,7,20,6,1,0,0
202,2,8,20,3,1,0,0
203,2,9,35,2,1,0,1
204,2,10,90,3,1,0,1
205,2,11,10,7,1,1,1
206,2,12,85,3,1,0,1
207,2,13,50,0,1,1,0
208,2,14,55,3,1,1,0
209,2,15,45,0,1,0,0
210,2,16,85,6,1,1,1
211,2,17,65,9,1,1,0
212,2,18,60,4,1,1,1
213,2,19,85,1,1,1,0
214,2,20,40,1,1,1,1
215,2,21,45,3,1,1,0
216,2,22,75,9,1,0,0
217,2,23,75,2,1,0,1
218,2,24,15,4,1,1,1
219,2,25,70,7,1,1,1
220,2,26,100,7,1,1,0
221,2,27,70,2,1,1,0
222,2,28,40,4,1,0,1
223,2,29,15,5,1,0,1
224,2,30,30,5,1,1,1
225,2,31,70,9,1,1,0
226,2,32,15,3,1,0,1
227,2,33,55,2,1,0,1
228,2,34,80,7,1,1,0
229,2,35,25,6,1,1,0
230,2,36,10,5,1,1,1
231,2,37,60,2,1,1,0
232,2,38,75,9,1,1,1
233,2,39,25,5,1,0,1
234,2,40,5,8,1,1,1
235,2,41,65,2,1,1,1
236,2,42,45,3,1,1,1
237,2,43,55,1,1,0,0
238,2,44,45,4,1,0,1
239,2,45,15,4,1,1,1
240,2,46,100,6,1,0,1
241,2,47,20,5,1,1,0
242,2,48,5,4,1,1,0
243,2,49,30,1,1,1,0
244,2,50,55,6,1,0,0
245,2,51,80,9,1,1,0
246,2,52,10,8,1,0,0
247,2,53,20,8,1,1,0
248,2,54,80,5,1,0,0
249,2,55,55,4,1,0,0
250,2,56,60,5,1,1,0
251,2,57,80,2,1,1,0
252,2,58,60,4,1,0,1
253,2,59,60,5,1,1,1
254,2,60,95,0,1,1,0
255,2,61,100,4,1,1,0
256,2,62,15,3,1,0,1
257,2,63,10,9,1,1,1
258,2,64,15,4,1,1,1
259,13,93,70,6,1,1,1
260,2,66,100,4,1,1,1
261,2,67,95,7,1,1,0
262,2,68,20,8,1,1,1
263,2,69,90,5,1,1,1
264,2,70,25,9,1,1,0
265,2,71,35,3,1,1,1
266,2,72,100,4,1,1,0
267,2,73,10,9,1,0,0
268,2,74,65,9,1,0,1
269,2,75,10,8,1,1,1
270,2,76,10,1,1,1,1
271,2,77,90,7,1,0,1
272,2,78,80,6,1,1,1
273,2,79,40,6,1,1,1
274,2,80,70,4,1,0,0
275,2,81,20,3,1,1,1
276,2,82,65,7,1,1,1
277,2,83,55,7,1,1,0
278,2,84,10,3,1,1,1
279,2,85,65,8,1,1,0
280,2,86,35,9,1,0,0
281,2,87,85,6,1,0,1
282,2,88,10,6,1,1,1
283,2,89,85,4,1,0,1
284,2,90,10,0,1,0,1
285,2,91,85,6,1,0,0
286,2,92,60,8,1,1,1
287,2,93,85,4,1,1,0
288,2,94,50,9,1,1,0
289,2,95,25,0,1,0,0
290,2,96,50,6,1,0,1
291,2,97,100,5,1,1,1
292,2,98,65,2,1,1,0
293,2,99,85,8,1,1,1
294,3,4,20,8,1,0,0
295,3,5,100,8,1,1,0
296,3,6,20,3,1,1,0
297,3,7,85,9,1,0,0
298,3,8,65,0,1,1,1
