# 489
index,content,likes
0,景区评论!今天在这里。。，今天很开心！今天在这里。。，今天很开心！ comment_id:0  !今天在这里。。，今天很开心！今天在这里。。，今天很开心！ co,201
1,这是一条景区评论里面超好玩儿啊啊啊! comment_id:1  ,237
2,这是景区评论。里面超好玩儿啊啊啊! comment_id:2  ,3
3,景区评论!今天在这里。。，今天很开心！这里好玩。 comment_id:3  ,189
4,这是景区评论。今天很开心！ comment_id:4  ,189
5,这是景区评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:5  评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! co,201
6,景区评论!今天在这里。。，今天很开心！这里好玩。 comment_id:6  ,135
7,景区评论!今天在这里。。，今天很开心！这里好玩。 comment_id:7  ,189
8,这是一条景区评论今天在这里。。，今天很开心！ comment_id:8  ,96
9,这是一条景区评论里面超好玩儿啊啊啊! comment_id:9  ,234
10,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:10  啊啊啊，里面的人说话又好听。今天在这里。�,177
11,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:11  啊啊啊，里面的人说话又好听。今天在这里。�,168
12,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:12  啊啊啊，里面的人说话又好听。今天在这里。�,33
13,这是景区评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 comment_id:13  评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 com,180
14,这是景区评论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 comment_id:14  论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 ,225
15,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。这是我的景区评论。 comment_id:15  面超好玩儿啊啊啊，里面的人说话又好听。这是我的景区�,216
16,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:16  论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,237
17,这是景区评论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 comment_id:17  论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 ,195
18,景区评论!今天在这里。。，今天很开心！今天很开心！ comment_id:18  ,87
19,这是一条景区评论这里好玩。 comment_id:19  ,147
20,这是一条景区评论今天在这里。。，今天很开心！ comment_id:20  ,159
21,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 comment_id:21  评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 com,195
22,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。这是我的景区评论。 comment_id:22  面超好玩儿啊啊啊，里面的人说话又好听。这是我的景区�,54
