# 100
index,name,instruction,label,likes
0,五厕所 id:0,五厕所是厕所。 id:0, 厕所 ,5
1,二宿舍 id:1,二宿舍是宿舍。 id:1, 宿舍 ,11
2,四厕所 id:2,四厕所是新中国第514所邮电高等厕所。 id:2, 厕所 ,22
3,三厕所 id:3,三厕所是厕所。 id:3, 厕所 ,21
4,一教学楼 id:4,一教学楼是新中国第1所邮电高等教学楼。 id:4, 教学楼 ,10
5,二厕所 id:5,二厕所是厕所。 id:5, 厕所 ,28
6,五宿舍 id:6,五宿舍是宿舍。 id:6, 宿舍 ,27
7,一教学楼 id:7,一教学楼是新中国第1所邮电高等教学楼。 id:7, 教学楼 ,19
8,小快递站 id:8,小花园是一所啸快递站子。 id:8, 快递站 ,4
9,二宿舍 id:9,二宿舍是宿舍。 id:9, 宿舍 ,20
10,一宿舍 id:10,一宿舍是一所宿舍。 id:10, 宿舍 ,26
11,二教学楼 id:11,二教学楼是新中国第18所邮电高等教学楼。 id:11, 教学楼 ,38
12,三食堂 id:12,三食堂是食堂。 id:12, 食堂 ,8
13,小车棚 id:13,小花园是一所啸车棚子。 id:13, 车棚 ,17
14,小理发店 id:14,小花园是一所啸理发店子。 id:14, 理发店 ,32
15,小保卫处 id:15,小花园是一所啸保卫处。 id:15, 保卫处 ,9
16,一教学楼 id:16,一教学楼是新中国第1所邮电高等教学楼。 id:16, 教学楼 ,22
17,四食堂 id:17,四食堂是新中国第514所邮电高等食堂。 id:17, 食堂 ,34
18,三教学楼 id:18,三教学楼是新中国第114514所邮电高等教学楼。 id:18, 教学楼 ,18
19,五食堂 id:19,五食堂是食堂。 id:19, 食堂 ,20
20,小花园 id:20,小花园是一所啸公园。 id:20, 花园 ,26
21,三宿舍 id:21,三宿舍是宿舍。 id:21, 宿舍 ,23
22,三厕所 id:22,三厕所是厕所。 id:22, 厕所 ,10
23,三厕所 id:23,三厕所是厕所。 id:23, 厕所 ,19
24,三食堂 id:24,三食堂是食堂。 id:24, 食堂 ,42
25,五教学楼 id:25,五教学楼是新中国第114所邮电高等教学楼。 id:25, 教学楼 ,29
26,三教学楼 id:26,三教学楼是新中国第114514所邮电高等教学楼。 id:26, 教学楼 ,42
27,一教学楼 id:27,一教学楼是新中国第1所邮电高等教学楼。 id:27, 教学楼 ,34
28,四教学楼 id:28,四教学楼是新中国第514所邮电高等教学楼。 id:28, 教学楼 ,15
29,二食堂 id:29,二食堂是食堂。 id:29, 食堂 ,29
30,一宿舍 id:30,一宿舍是一所宿舍。 id:30, 宿舍 ,8
31,五食堂 id:31,五食堂是食堂。 id:31, 食堂 ,42
32,五教学楼 id:32,五教学楼是新中国第114所邮电高等教学楼。 id:32, 教学楼 ,22
33,四食堂 id:33,四食堂是新中国第514所邮电高等食堂。 id:33, 食堂 ,19
34,小花园 id:34,小花园是一所啸公园。 id:34, 花园 ,38
35,五厕所 id:35,五厕所是厕所。 id:35, 厕所 ,45
36,二厕所 id:36,二厕所是厕所。 id:36, 厕所 ,44
37,小花园 id:37,小花园是一所啸公园。 id:37, 花园 ,2
38,三宿舍 id:38,三宿舍是宿舍。 id:38, 宿舍 ,25
39,三食堂 id:39,三食堂是食堂。 id:39, 食堂 ,33
40,四教学楼 id:40,四教学楼是新中国第514所邮电高等教学楼。 id:40, 教学楼 ,11
41,一食堂 id:41,一食堂是一所食堂。 id:41, 食堂 ,3
42,四教学楼 id:42,四教学楼是新中国第514所邮电高等教学楼。 id:42, 教学楼 ,19
43,三厕所 id:43,三厕所是厕所。 id:43, 厕所 ,20
44,四食堂 id:44,四食堂是新中国第514所邮电高等食堂。 id:44, 食堂 ,5
45,五食堂 id:45,五食堂是食堂。 id:45, 食堂 ,8
46,四宿舍 id:46,四宿舍是新中国第514所邮电高等宿舍。 id:46, 宿舍 ,29
47,四教学楼 id:47,四教学楼是新中国第514所邮电高等教学楼。 id:47, 教学楼 ,41
48,二厕所 id:48,二厕所是厕所。 id:48, 厕所 ,5
49,三厕所 id:49,三厕所是厕所。 id:49, 厕所 ,3
50,三教学楼 id:50,三教学楼是新中国第114514所邮电高等教学楼。 id:50, 教学楼 ,39
51,二食堂 id:51,二食堂是食堂。 id:51, 食堂 ,6
52,五厕所 id:52,五厕所是厕所。 id:52, 厕所 ,13
53,小快递站 id:53,小花园是一所啸快递站子。 id:53, 快递站 ,46
54,三厕所 id:54,三厕所是厕所。 id:54, 厕所 ,28
55,二教学楼 id:55,二教学楼是新中国第18所邮电高等教学楼。 id:55, 教学楼 ,34
56,四教学楼 id:56,四教学楼是新中国第514所邮电高等教学楼。 id:56, 教学楼 ,29
57,小快递站 id:57,小花园是一所啸快递站子。 id:57, 快递站 ,10
58,一食堂 id:58,一食堂是一所食堂。 id:58, 食堂 ,11
59,一厕所 id:59,一厕所是一所厕所。 id:59, 厕所 ,41
60,三食堂 id:60,三食堂是食堂。 id:60, 食堂 ,27
