# 382
index,content,likes
0,景区评论!今天在这里。。，今天很开心！里面超好玩儿啊啊啊! comment_id:0  ,144
1,这是景区评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:1  评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! co,84
2,这是一条景区评论这里好玩。 comment_id:2  ,120
3,这是景区评论。这里好玩。 comment_id:3  ,108
4,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:4  面超好玩儿啊啊啊，里面的人说话又好听。里面超好玩儿�,207
5,景区评论!今天在这里。。，今天很开心！这里好玩。 comment_id:5  ,177
6,这是一条景区评论这里好玩。 comment_id:6  ,228
7,这是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:7  �是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:7,42
8,这是景区评论。里面超好玩，里面的人说话又好听。这里好玩。 comment_id:8  ,3
9,这是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:9  �是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:9,0
10,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 comment_id:10  评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 com,165
11,这是一条景区评论今天在这里。。，今天很开心！ comment_id:11  ,234
12,这是景区评论。里面超好玩，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:12  超好玩，里面的人说话又好听。今天在这里。。，今天�,168
13,这是景区评论。里面超好玩，里面的人说话又好听。今天很开心！ comment_id:13  是景区评论。里面超好玩，里面的人说话又好听。今天很开心！ comment_id:1,234
14,这是一条景区评论今天在这里。。，今天很开心！ comment_id:14  ,192
15,这是景区评论。里面超好玩，里面的人说话又好听。今天很开心！ comment_id:15  是景区评论。里面超好玩，里面的人说话又好听。今天很开心！ comment_id:1,84
16,这是景区评论。这是我的景区评论。 comment_id:16  ,108
17,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:17  论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,138
18,这是景区评论。里面超好玩，里面的人说话又好听。这里好玩。 comment_id:18  这是景区评论。里面超好玩，里面的人说话又好听。这里好玩。 comment_id:18  ,195
19,这是景区评论。今天在这里。。，今天很开心！ comment_id:19  ,177
20,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:20  啊啊啊，里面的人说话又好听。今天在这里。�,225
21,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:21  论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,207
22,景区评论!今天在这里。。，今天很开心！这是我的景区评论。 comment_id:22  ,84
23,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 comment_id:23  评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 com,6
24,景区评论!今天在这里。。，今天很开心！今天很开心！ comment_id:24  ,45
25,这是一条景区评论今天很开心！ comment_id:25  ,72
26,这是一条景区评论这里好玩。 comment_id:26  ,192
27,这是一条景区评论今天很开心！ comment_id:27  ,24
28,这是一条景区评论今天很开心！ comment_id:28  ,114
29,这是景区评论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 comment_id:29  论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 ,180
30,这是景区评论。里面超好玩，里面的人说话又好听。这里好玩。 comment_id:30  这是景区评论。里面超好玩，里面的人说话又好听。这里好玩。 comment_id:30  ,231
31,这是景区评论。今天很开心！ comment_id:31  ,9
32,这是景区评论。里面超好玩，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:32  超好玩，里面的人说话又好听。今天在这里。。，今天�,225
33,景区评论!今天在这里。。，今天很开心！里面超好玩儿啊啊啊! comment_id:33  ,54
34,这是景区评论。今天很开心！ comment_id:34  ,60
35,这是景区评论。这里好玩。 comment_id:35  ,150
36,这是景区评论。这里好玩。 comment_id:36  ,63
37,这是景区评论。这是我的景区评论。 comment_id:37  ,150
38,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。这是我的景区评论。 comment_id:38  面超好玩儿啊啊啊，里面的人说话又好听。这是我的景区�,12
39,这是景区评论。这是我的景区评论。 comment_id:39  ,75
40,这是景区评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:40  ��论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! co,117
41,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:41  ��超好玩儿啊啊啊，里面的人说话又好听。里面超好玩儿�,69
42,这是景区评论。里面超好玩，里面的人说话又好听。这里好玩。 comment_id:42  这是景区评论。里面超好玩，里面的人说话又好听。这里好玩。 comment_id:42  ,48
43,这是一条景区评论这里好玩。 comment_id:43  ,132
44,这是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:44  是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:4,120
45,这是景区评论。里面超好玩儿，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:45  好玩儿，里面的人说话又好听。今天在这里。。，今�,33
46,这是一条景区评论里面超好玩儿啊啊啊! comment_id:46  ,12
47,这是一条景区评论这里好玩。 comment_id:47  ,141
48,这是一条景区评论里面超好玩儿啊啊啊! comment_id:48  ,156
