# 502
index,content,likes
0,景区评论!今天在这里。。，今天很开心！今天在这里。。，今天很开心！ comment_id:0  !今天在这里。。，今天很开心！今天在这里。。，今天很开心！ co,78
1,这是一条景区评论今天很开心！ comment_id:1  ,213
2,景区评论!今天在这里。。，今天很开心！这里好玩。 comment_id:2  ,93
3,这是景区评论。里面超好玩，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:3  �超好玩，里面的人说话又好听。今天在这里。。，今天�,132
4,这是一条景区评论这是我的景区评论。 comment_id:4  ,33
5,这是景区评论。今天在这里。。，今天很开心！ comment_id:5  ,102
6,这是一条景区评论里面超好玩儿啊啊啊! comment_id:6  ,237
7,这是景区评论。今天很开心！ comment_id:7  ,30
8,这是景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_id:8  �景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_i,201
9,这是景区评论。这是我的景区评论。 comment_id:9  ,165
10,这是景区评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:10  ��论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! co,135
11,景区评论!今天在这里。。，今天很开心！今天在这里。。，今天很开心！ comment_id:11  今天在这里。。，今天很开心！今天在这里。。，今天很开心！ co,204
12,这是景区评论。这里好玩。 comment_id:12  ,207
13,这是景区评论。里面超好玩，里面的人说话又好听。今天很开心！ comment_id:13  是景区评论。里面超好玩，里面的人说话又好听。今天很开心！ comment_id:1,126
14,这是景区评论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:14  ��。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊!,144
15,这是一条景区评论这是我的景区评论。 comment_id:15  ,177
16,景区评论!今天在这里。。，今天很开心！今天在这里。。，今天很开心！ comment_id:16  今天在这里。。，今天很开心！今天在这里。。，今天很开心！ co,72
17,这是一条景区评论今天在这里。。，今天很开心！ comment_id:17  ,189
18,这是景区评论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 comment_id:18  论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 ,159
19,这是景区评论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:19  ��。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊!,3
20,这是景区评论。这里好玩。 comment_id:20  ,171
21,这是景区评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:21  ��论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! co,48
22,这是景区评论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:22  ��。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊!,30
23,景区评论!今天在这里。。，今天很开心！这里好玩。 comment_id:23  ,120
24,这是景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_id:24  景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_i,105
25,这是景区评论。里面超好玩儿，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:25  好玩儿，里面的人说话又好听。今天在这里。。，今�,135
26,这是景区评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 comment_id:26  评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 com,225
27,这是景区评论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:27  ��。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊!,180
28,这是景区评论。这里好玩。 comment_id:28  ,132
29,这是景区评论。今天在这里。。，今天很开心！ comment_id:29  ,204
30,这是一条景区评论这里好玩。 comment_id:30  ,84
31,这是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:31  是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:3,234
