# 100
index,name,instruction,label,likes
0,一宿舍 id:0,一宿舍是一所宿舍。 id:0, 宿舍 ,13
1,二宿舍 id:1,二宿舍是宿舍。 id:1, 宿舍 ,44
2,五教学楼 id:2,五教学楼是新中国第114所邮电高等教学楼。 id:2, 教学楼 ,9
3,五厕所 id:3,五厕所是厕所。 id:3, 厕所 ,9
4,三食堂 id:4,三食堂是食堂。 id:4, 食堂 ,31
5,三食堂 id:5,三食堂是食堂。 id:5, 食堂 ,17
6,三宿舍 id:6,三宿舍是宿舍。 id:6, 宿舍 ,8
7,四教学楼 id:7,四教学楼是新中国第514所邮电高等教学楼。 id:7, 教学楼 ,46
8,一食堂 id:8,一食堂是一所食堂。 id:8, 食堂 ,20
9,一食堂 id:9,一食堂是一所食堂。 id:9, 食堂 ,40
10,五教学楼 id:10,五教学楼是新中国第114所邮电高等教学楼。 id:10, 教学楼 ,29
11,二宿舍 id:11,二宿舍是宿舍。 id:11, 宿舍 ,3
12,二食堂 id:12,二食堂是食堂。 id:12, 食堂 ,27
13,三宿舍 id:13,三宿舍是宿舍。 id:13, 宿舍 ,25
14,四厕所 id:14,四厕所是新中国第514所邮电高等厕所。 id:14, 厕所 ,3
15,五宿舍 id:15,五宿舍是宿舍。 id:15, 宿舍 ,5
16,三宿舍 id:16,三宿舍是宿舍。 id:16, 宿舍 ,25
17,四厕所 id:17,四厕所是新中国第514所邮电高等厕所。 id:17, 厕所 ,11
18,五厕所 id:18,五厕所是厕所。 id:18, 厕所 ,30
19,二教学楼 id:19,二教学楼是新中国第18所邮电高等教学楼。 id:19, 教学楼 ,16
20,小保卫处 id:20,小花园是一所啸保卫处。 id:20, 保卫处 ,21
21,三厕所 id:21,三厕所是厕所。 id:21, 厕所 ,22
22,五教学楼 id:22,五教学楼是新中国第114所邮电高等教学楼。 id:22, 教学楼 ,36
23,小理发店 id:23,小花园是一所啸理发店子。 id:23, 理发店 ,32
24,小花园 id:24,小花园是一所啸公园。 id:24, 花园 ,40
25,三食堂 id:25,三食堂是食堂。 id:25, 食堂 ,7
26,小花园 id:26,小花园是一所啸公园。 id:26, 花园 ,37
27,四教学楼 id:27,四教学楼是新中国第514所邮电高等教学楼。 id:27, 教学楼 ,11
28,二食堂 id:28,二食堂是食堂。 id:28, 食堂 ,24
29,五宿舍 id:29,五宿舍是宿舍。 id:29, 宿舍 ,4
30,四教学楼 id:30,四教学楼是新中国第514所邮电高等教学楼。 id:30, 教学楼 ,46
31,五食堂 id:31,五食堂是食堂。 id:31, 食堂 ,37
32,一教学楼 id:32,一教学楼是新中国第1所邮电高等教学楼。 id:32, 教学楼 ,24
33,一厕所 id:33,一厕所是一所厕所。 id:33, 厕所 ,16
34,四教学楼 id:34,四教学楼是新中国第514所邮电高等教学楼。 id:34, 教学楼 ,33
35,三食堂 id:35,三食堂是食堂。 id:35, 食堂 ,22
36,小理发店 id:36,小花园是一所啸理发店子。 id:36, 理发店 ,2
37,四宿舍 id:37,四宿舍是新中国第514所邮电高等宿舍。 id:37, 宿舍 ,15
38,一教学楼 id:38,一教学楼是新中国第1所邮电高等教学楼。 id:38, 教学楼 ,32
39,小保卫处 id:39,小花园是一所啸保卫处。 id:39, 保卫处 ,21
40,三厕所 id:40,三厕所是厕所。 id:40, 厕所 ,8
41,一宿舍 id:41,一宿舍是一所宿舍。 id:41, 宿舍 ,29
42,一厕所 id:42,一厕所是一所厕所。 id:42, 厕所 ,27
43,二教学楼 id:43,二教学楼是新中国第18所邮电高等教学楼。 id:43, 教学楼 ,38
44,五宿舍 id:44,五宿舍是宿舍。 id:44, 宿舍 ,22
45,二厕所 id:45,二厕所是厕所。 id:45, 厕所 ,40
