# 4814
index,from_place_index,to_place_index,length,congestion,walk_access,bike_access,ebike_access
0,0,1,15,8,1,1,1
1,0,2,50,8,1,1,1
2,0,3,60,3,1,0,0
3,0,4,90,6,1,1,0
4,0,5,90,0,1,1,0
5,0,6,15,0,1,1,0
6,0,7,70,5,1,0,0
7,0,8,40,3,1,1,0
8,0,9,30,9,1,1,0
9,0,10,30,1,1,0,0
10,0,11,45,1,1,1,0
11,0,12,65,5,1,1,0
12,0,13,60,6,1,1,0
13,0,14,100,3,1,1,0
14,0,15,95,9,1,1,1
15,0,16,10,2,1,1,1
16,0,17,50,8,1,1,0
17,0,18,20,8,1,1,1
18,0,19,40,0,1,1,1
19,0,20,70,8,1,0,0
20,0,21,35,9,1,0,1
21,0,22,35,5,1,1,0
22,0,23,45,2,1,1,1
23,0,70,65,8,1,1,1
24,0,25,75,2,1,1,1
25,0,26,35,2,1,0,0
26,0,27,45,2,1,1,0
27,0,28,90,6,1,1,1
28,0,29,50,5,1,1,0
29,0,30,20,7,1,1,0
30,0,31,95,5,1,1,1
31,0,32,5,2,1,1,0
32,0,33,45,4,1,1,1
33,0,34,40,8,1,0,0
34,0,35,5,6,1,0,0
35,0,36,10,8,1,1,1
36,0,37,5,3,1,1,1
37,0,38,95,6,1,1,1
38,0,39,25,9,1,1,1
39,0,40,65,5,1,1,1
40,0,41,10,8,1,1,1
41,0,42,75,1,1,0,1
42,0,43,20,7,1,1,1
43,0,44,90,5,1,0,0
44,0,45,65,1,1,1,1
45,0,46,10,3,1,1,1
46,0,47,10,7,1,1,1
47,0,48,95,2,1,1,1
48,0,49,5,7,1,1,0
49,0,50,45,7,1,0,0
50,2,3,90,1,1,1,1
51,0,52,10,2,1,1,1
52,0,53,10,2,1,1,1
53,0,54,10,7,1,0,1
54,0,55,90,4,1,0,0
55,0,56,10,6,1,0,1
56,0,57,70,9,1,1,0
57,0,58,45,1,1,1,0
58,0,59,85,0,1,1,0
59,0,60,75,0,1,1,1
60,0,61,30,6,1,1,1
61,0,62,80,5,1,0,1
62,0,63,15,9,1,1,1
63,0,64,25,8,1,1,1
64,0,65,10,4,1,1,1
65,0,66,70,9,1,1,0
66,0,67,75,2,1,0,0
67,0,68,70,6,1,0,0
68,0,69,85,0,1,1,0
69,0,70,75,8,1,1,0
70,0,71,30,0,1,1,1
71,0,72,45,2,1,1,1
72,0,73,5,8,1,0,1
