# 100
index,name,instruction,label,likes
0,小花园 id:0,小花园是一所啸公园。 id:0, 花园 ,18
1,三食堂 id:1,三食堂是食堂。 id:1, 食堂 ,19
2,四厕所 id:2,四厕所是新中国第514所邮电高等厕所。 id:2, 厕所 ,25
3,三宿舍 id:3,三宿舍是宿舍。 id:3, 宿舍 ,39
4,三教学楼 id:4,三教学楼是新中国第114514所邮电高等教学楼。 id:4, 教学楼 ,28
5,一宿舍 id:5,一宿舍是一所宿舍。 id:5, 宿舍 ,36
6,三教学楼 id:6,三教学楼是新中国第114514所邮电高等教学楼。 id:6, 教学楼 ,25
7,二食堂 id:7,二食堂是食堂。 id:7, 食堂 ,11
8,三宿舍 id:8,三宿舍是宿舍。 id:8, 宿舍 ,7
9,小理发店 id:9,小花园是一所啸理发店子。 id:9, 理发店 ,5
10,三教学楼 id:10,三教学楼是新中国第114514所邮电高等教学楼。 id:10, 教学楼 ,36
11,小车棚 id:11,小花园是一所啸车棚子。 id:11, 车棚 ,19
12,五教学楼 id:12,五教学楼是新中国第114所邮电高等教学楼。 id:12, 教学楼 ,30
13,四厕所 id:13,四厕所是新中国第514所邮电高等厕所。 id:13, 厕所 ,4
14,小保卫处 id:14,小花园是一所啸保卫处。 id:14, 保卫处 ,10
15,小保卫处 id:15,小花园是一所啸保卫处。 id:15, 保卫处 ,37
16,五教学楼 id:16,五教学楼是新中国第114所邮电高等教学楼。 id:16, 教学楼 ,31
17,一宿舍 id:17,一宿舍是一所宿舍。 id:17, 宿舍 ,33
18,五教学楼 id:18,五教学楼是新中国第114所邮电高等教学楼。 id:18, 教学楼 ,29
19,三食堂 id:19,三食堂是食堂。 id:19, 食堂 ,45
20,一食堂 id:20,一食堂是一所食堂。 id:20, 食堂 ,36
21,小快递站 id:21,小花园是一所啸快递站子。 id:21, 快递站 ,26
22,一教学楼 id:22,一教学楼是新中国第1所邮电高等教学楼。 id:22, 教学楼 ,15
23,二宿舍 id:23,二宿舍是宿舍。 id:23, 宿舍 ,20
24,三食堂 id:24,三食堂是食堂。 id:24, 食堂 ,27
25,二厕所 id:25,二厕所是厕所。 id:25, 厕所 ,44
26,五教学楼 id:26,五教学楼是新中国第114所邮电高等教学楼。 id:26, 教学楼 ,41
27,三教学楼 id:27,三教学楼是新中国第114514所邮电高等教学楼。 id:27, 教学楼 ,40
28,四教学楼 id:28,四教学楼是新中国第514所邮电高等教学楼。 id:28, 教学楼 ,6
29,一教学楼 id:29,一教学楼是新中国第1所邮电高等教学楼。 id:29, 教学楼 ,24
30,二厕所 id:30,二厕所是厕所。 id:30, 厕所 ,12
31,二宿舍 id:31,二宿舍是宿舍。 id:31, 宿舍 ,36
32,一教学楼 id:32,一教学楼是新中国第1所邮电高等教学楼。 id:32, 教学楼 ,46
33,三食堂 id:33,三食堂是食堂。 id:33, 食堂 ,37
34,四厕所 id:34,四厕所是新中国第514所邮电高等厕所。 id:34, 厕所 ,5
35,三宿舍 id:35,三宿舍是宿舍。 id:35, 宿舍 ,21
36,一食堂 id:36,一食堂是一所食堂。 id:36, 食堂 ,13
37,四食堂 id:37,四食堂是新中国第514所邮电高等食堂。 id:37, 食堂 ,27
38,小车棚 id:38,小花园是一所啸车棚子。 id:38, 车棚 ,19
39,一教学楼 id:39,一教学楼是新中国第1所邮电高等教学楼。 id:39, 教学楼 ,34
40,五宿舍 id:40,五宿舍是宿舍。 id:40, 宿舍 ,35
41,二厕所 id:41,二厕所是厕所。 id:41, 厕所 ,25
42,三宿舍 id:42,三宿舍是宿舍。 id:42, 宿舍 ,25
43,二教学楼 id:43,二教学楼是新中国第18所邮电高等教学楼。 id:43, 教学楼 ,22
44,小快递站 id:44,小花园是一所啸快递站子。 id:44, 快递站 ,24
45,四厕所 id:45,四厕所是新中国第514所邮电高等厕所。 id:45, 厕所 ,31
46,小保卫处 id:46,小花园是一所啸保卫处。 id:46, 保卫处 ,44
47,一宿舍 id:47,一宿舍是一所宿舍。 id:47, 宿舍 ,11
48,三宿舍 id:48,三宿舍是宿舍。 id:48, 宿舍 ,2
49,一厕所 id:49,一厕所是一所厕所。 id:49, 厕所 ,12
50,四厕所 id:50,四厕所是新中国第514所邮电高等厕所。 id:50, 厕所 ,20
51,二厕所 id:51,二厕所是厕所。 id:51, 厕所 ,31
52,一厕所 id:52,一厕所是一所厕所。 id:52, 厕所 ,21
53,五食堂 id:53,五食堂是食堂。 id:53, 食堂 ,17
54,二教学楼 id:54,二教学楼是新中国第18所邮电高等教学楼。 id:54, 教学楼 ,28
55,一教学楼 id:55,一教学楼是新中国第1所邮电高等教学楼。 id:55, 教学楼 ,34
56,四教学楼 id:56,四教学楼是新中国第514所邮电高等教学楼。 id:56, 教学楼 ,33
57,二教学楼 id:57,二教学楼是新中国第18所邮电高等教学楼。 id:57, 教学楼 ,3
58,三宿舍 id:58,三宿舍是宿舍。 id:58, 宿舍 ,32
59,五宿舍 id:59,五宿舍是宿舍。 id:59, 宿舍 ,44
60,五食堂 id:60,五食堂是食堂。 id:60, 食堂 ,9
61,四厕所 id:61,四厕所是新中国第514所邮电高等厕所。 id:61, 厕所 ,6
62,三教学楼 id:62,三教学楼是新中国第114514所邮电高等教学楼。 id:62, 教学楼 ,18
63,小快递站 id:63,小花园是一所啸快递站子。 id:63, 快递站 ,24
64,一厕所 id:64,一厕所是一所厕所。 id:64, 厕所 ,46
65,四宿舍 id:65,四宿舍是新中国第514所邮电高等宿舍。 id:65, 宿舍 ,33
66,一食堂 id:66,一食堂是一所食堂。 id:66, 食堂 ,8
67,五宿舍 id:67,五宿舍是宿舍。 id:67, 宿舍 ,24
68,一教学楼 id:68,一教学楼是新中国第1所邮电高等教学楼。 id:68, 教学楼 ,28
69,三食堂 id:69,三食堂是食堂。 id:69, 食堂 ,39
70,小理发店 id:70,小花园是一所啸理发店子。 id:70, 理发店 ,26
71,三食堂 id:71,三食堂是食堂。 id:71, 食堂 ,20
72,小花园 id:72,小花园是一所啸公园。 id:72, 花园 ,10
73,一厕所 id:73,一厕所是一所厕所。 id:73, 厕所 ,12
74,四宿舍 id:74,四宿舍是新中国第514所邮电高等宿舍。 id:74, 宿舍 ,10
75,四厕所 id:75,四厕所是新中国第514所邮电高等厕所。 id:75, 厕所 ,34
76,一宿舍 id:76,一宿舍是一所宿舍。 id:76, 宿舍 ,45
77,三食堂 id:77,三食堂是食堂。 id:77, 食堂 ,32
78,四教学楼 id:78,四教学楼是新中国第514所邮电高等教学楼。 id:78, 教学楼 ,25
