# 4772
index,from_place_index,to_place_index,length,congestion,walk_access,bike_access,ebike_access
0,0,1,95,3,1,1,1
1,0,2,25,9,1,0,1
2,0,3,95,4,1,1,1
3,0,4,45,3,1,1,1
4,0,5,45,1,1,1,1
5,0,6,15,8,1,1,1
6,0,7,40,2,1,1,1
7,0,8,25,1,1,1,1
8,0,9,65,2,1,0,1
9,0,10,40,6,1,0,0
10,0,11,45,2,1,1,0
11,0,12,30,1,1,1,1
12,0,13,40,5,1,1,0
13,0,14,35,3,1,1,0
14,0,15,80,9,1,0,0
15,0,16,100,5,1,1,1
16,0,17,30,1,1,1,0
17,0,18,10,1,1,1,1
18,0,19,45,2,1,1,0
19,0,20,70,7,1,1,1
20,0,21,10,5,1,0,1
21,0,53,75,5,1,1,0
22,0,23,95,2,1,0,1
23,0,24,10,6,1,1,1
24,0,25,5,5,1,1,1
25,0,26,20,1,1,1,1
26,0,27,80,0,1,1,0
27,0,28,100,6,1,0,0
28,0,29,95,0,1,1,1
29,0,30,5,2,1,1,0
30,0,31,70,4,1,1,0
31,0,32,20,1,1,1,0
32,0,33,65,8,1,1,0
33,0,34,35,0,1,1,1
34,0,35,15,2,1,1,1
35,0,36,15,1,1,1,0
36,0,37,90,8,1,0,0
37,0,38,30,6,1,1,0
38,0,39,75,3,1,0,1
39,0,40,30,0,1,1,1
40,0,41,55,4,1,0,1
41,0,42,60,5,1,1,0
42,1,88,10,4,1,0,1
43,0,44,5,7,1,1,0
44,1,92,40,2,1,1,0
45,0,46,15,6,1,1,1
46,0,47,95,4,1,1,0
47,0,48,15,0,1,0,0
48,0,49,75,1,1,1,0
49,0,50,50,8,1,1,0
50,0,51,25,7,1,0,0
51,0,52,30,7,1,1,0
52,0,53,50,9,1,1,0
53,0,54,70,0,1,1,0
54,0,55,10,4,1,1,0
55,0,56,90,4,1,0,0
56,0,57,50,4,1,0,1
57,0,58,35,2,1,1,0
58,0,59,100,3,1,1,0
59,0,60,10,9,1,1,1
60,0,61,40,6,1,1,1
61,0,62,100,0,1,1,0
62,0,63,10,0,1,1,0
63,0,64,35,4,1,0,1
64,0,65,50,2,1,1,0
65,0,66,90,3,1,1,0
66,0,67,20,8,1,1,0
67,0,68,55,3,1,0,0
68,0,69,50,6,1,1,1
69,0,70,55,2,1,1,0
70,2,94,55,4,1,1,0
71,0,72,25,7,1,0,0
72,0,73,50,2,1,1,1
73,0,74,75,9,1,1,0
74,0,75,45,1,1,0,1
75,0,76,95,7,1,1,1
76,0,77,95,8,1,1,0
77,0,78,45,0,1,1,0
78,0,79,30,6,1,1,1
79,0,80,25,0,1,0,1
80,0,81,5,8,1,1,1
81,0,82,85,0,1,1,0
82,0,83,25,5,1,1,1
83,0,84,85,0,1,1,1
84,0,85,55,9,1,1,1
85,0,86,75,9,1,0,1
86,0,87,25,3,1,1,1
87,0,88,50,1,1,1,1
88,0,89,75,6,1,1,0
89,0,90,15,2,1,1,0
90,0,91,55,9,1,0,1
91,0,92,50,2,1,1,1
92,0,93,100,6,1,1,0
93,0,94,55,9,1,1,0
94,0,95,15,6,1,1,0
95,0,96,35,4,1,0,0
96,0,97,20,9,1,1,1
97,0,98,15,7,1,1,0
98,0,99,30,2,1,0,0
99,1,2,65,1,1,1,0
100,1,3,75,2,1,1,1
101,1,4,20,1,1,1,1
102,4,68,55,7,1,1,1
103,4,74,5,0,1,0,1
104,1,7,80,2,1,1,0
105,1,8,40,8,1,0,1
106,1,9,95,0,1,1,0
107,1,10,55,3,1,1,1
108,1,11,85,5,1,1,0
109,1,12,10,2,1,1,0
110,1,13,40,4,1,1,1
111,1,14,55,6,1,1,1
112,1,15,70,0,1,1,1
113,1,16,95,5,1,0,1
114,1,17,85,5,1,1,1
115,1,18,35,9,1,1,1
116,1,19,15,1,1,1,0
117,1,20,95,9,1,1,1
118,1,21,80,7,1,1,0
119,1,22,10,1,1,1,1
120,1,23,75,2,1,1,1
121,1,24,50,3,1,0,1
122,1,25,100,8,1,1,1
123,1,26,15,8,1,1,0
124,1,27,80,9,1,1,1
125,1,28,75,8,1,0,1
126,1,29,60,4,1,1,0
127,1,30,30,8,1,1,0
128,1,31,65,7,1,1,1
129,1,32,95,6,1,0,0
130,1,33,95,9,1,1,0
131,1,34,80,5,1,1,0
132,1,35,30,8,1,0,1
133,1,36,30,8,1,1,0
134,1,37,70,7,1,1,1
135,1,38,65,1,1,1,1
136,1,39,35,3,1,0,1
137,1,40,30,9,1,1,1
138,1,41,5,6,1,1,1
139,1,42,10,7,1,1,1
140,1,43,45,9,1,0,0
141,1,44,70,7,1,1,1
142,1,45,20,1,1,1,0
143,1,46,20,7,1,1,0
144,1,47,30,4,1,1,0
145,1,48,30,5,1,0,0
146,1,49,10,5,1,0,0
147,1,50,60,1,1,1,1
148,1,51,40,9,1,1,0
149,1,52,95,8,1,1,1
150,1,53,35,2,1,1,0
151,1,54,75,1,1,1,0
152,1,55,60,3,1,1,1
153,1,56,65,7,1,1,0
154,1,57,75,5,1,1,0
155,1,58,90,9,1,1,1
156,1,59,5,6,1,1,1
157,1,60,35,6,1,1,0
158,1,61,30,2,1,1,0
159,1,62,30,4,1,1,0
160,1,63,5,5,1,0,0
161,1,64,75,0,1,1,0
162,1,65,5,8,1,1,0
163,1,66,95,6,1,0,0
164,1,67,65,1,1,1,0
165,1,68,90,1,1,1,1
166,1,69,55,6,1,1,0
167,1,70,15,5,1,1,0
168,1,71,95,5,1,1,0
169,1,72,45,4,1,0,1
170,1,73,15,8,1,1,0
171,1,74,100,9,1,1,0
172,1,75,60,3,1,0,1
173,1,76,65,3,1,1,0
174,1,77,50,7,1,0,0
175,1,78,65,9,1,1,0
176,1,79,85,3,1,1,0
177,1,80,10,3,1,0,1
178,9,16,100,4,1,1,0
179,1,82,75,0,1,1,1
180,1,83,25,4,1,1,0
181,1,84,100,7,1,1,0
182,1,85,90,1,1,1,1
183,1,86,25,3,1,1,0
184,1,87,80,2,1,1,0
185,1,88,50,1,1,1,0
186,1,89,10,0,1,0,0
187,1,90,85,6,1,1,1
188,1,91,55,7,1,1,0
189,1,92,80,8,1,1,1
190,1,93,15,8,1,1,0
191,1,94,85,3,1,0,0
192,1,95,75,6,1,1,0
193,1,96,15,7,1,0,0
194,1,97,30,8,1,1,1
195,1,98,40,2,1,1,1
196,1,99,5,7,1,0,1
197,2,3,90,5,1,0,0
198,2,4,30,4,1,0,0
199,2,5,30,6,1,1,0
200,2,6,75,1,1,1,0
201,10,29,95,4,1,1,0
202,2,8,80,5,1,1,1
203,2,9,35,9,1,1,1
204,2,10,75,1,1,1,1
205,2,11,75,4,1,1,1
206,2,12,90,5,1,1,1
207,2,13,70,9,1,0,0
208,2,14,55,5,1,0,1
209,2,15,95,0,1,1,0
210,2,16,70,6,1,0,1
211,2,17,25,2,1,1,0
212,2,18,95,7,1,1,1
213,2,19,90,3,1,1,0
214,2,20,45,1,1,1,0
215,2,21,85,4,1,0,0
216,2,22,20,8,1,0,1
217,2,23,5,7,1,0,0
218,2,24,55,5,1,1,1
219,2,25,50,9,1,0,0
220,2,26,50,1,1,1,0
221,2,27,55,7,1,0,0
222,2,28,85,5,1,1,0
223,2,29,70,3,1,1,0
224,2,30,35,9,1,1,0
225,2,31,70,5,1,1,1
226,2,32,5,8,1,1,0
227,2,33,35,2,1,1,1
228,2,34,5,5,1,1,1
229,2,35,75,9,1,1,1
230,2,36,100,3,1,1,1
231,2,37,90,4,1,0,1
232,2,38,85,3,1,1,0
233,2,39,20,6,1,1,0
234,2,40,100,0,1,0,1
235,2,41,75,4,1,0,1
236,2,42,5,4,1,1,0
237,2,43,25,9,1,1,0
238,2,44,50,3,1,1,0
239,2,45,20,3,1,1,0
240,2,46,75,6,1,1,0
