# 4783
index,from_place_index,to_place_index,length,congestion,walk_access,bike_access,ebike_access
0,0,1,95,6,1,1,0
1,0,2,15,4,1,1,0
2,0,3,55,5,1,0,0
3,0,4,50,9,1,1,1
4,0,5,90,4,1,1,1
5,0,6,60,0,1,1,0
6,0,7,95,8,1,0,1
7,0,8,95,2,1,1,1
8,0,9,20,7,1,1,1
9,0,10,85,1,1,0,0
10,0,11,65,3,1,0,1
11,0,12,55,3,1,1,0
12,0,13,15,9,1,1,0
13,0,14,70,9,1,1,0
14,0,15,65,8,1,1,1
15,0,49,5,4,1,1,0
16,0,17,50,6,1,1,1
17,0,18,20,3,1,0,1
18,0,19,40,1,1,1,0
19,0,20,20,4,1,0,0
20,0,21,75,6,1,1,1
21,0,22,20,3,1,1,1
22,0,23,25,6,1,1,1
23,0,24,25,7,1,1,1
24,0,25,100,5,1,1,1
25,0,87,15,6,1,1,0
26,0,27,25,4,1,1,0
27,0,28,35,3,1,0,1
28,0,29,30,1,1,0,0
29,0,30,20,0,1,1,0
30,0,31,90,5,1,1,1
31,0,32,5,9,1,0,1
32,0,33,30,6,1,1,1
33,0,34,65,9,1,1,0
34,0,35,70,4,1,1,0
35,0,36,55,4,1,1,1
36,0,37,15,8,1,1,1
37,1,28,20,2,1,0,1
38,0,39,65,0,1,1,0
39,0,40,10,5,1,1,0
40,0,41,70,1,1,1,1
41,0,42,5,4,1,0,1
42,0,43,85,8,1,1,1
43,0,44,45,3,1,1,0
44,0,45,5,9,1,1,1
45,0,46,95,6,1,0,0
46,1,67,55,9,1,1,0
47,1,70,25,7,1,1,1
48,0,49,40,5,1,1,0
49,0,50,85,5,1,1,0
50,0,51,10,4,1,0,1
51,0,52,50,3,1,0,1
52,0,53,35,1,1,1,1
53,2,4,55,9,1,1,0
54,0,55,100,7,1,0,1
55,0,56,95,8,1,1,1
56,0,57,10,7,1,1,1
57,2,22,95,4,1,1,1
58,0,59,25,2,1,1,0
59,0,60,45,5,1,0,1
60,0,61,100,1,1,1,1
61,0,62,5,7,1,1,1
62,0,63,85,5,1,1,1
